Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage (logged in),20,9,2,100,"22,93","0,000%","20,44990","56,52","2,36","2830,0"
TOTAL,20,9,2,100,"22,93","0,000%","20,44990","56,52","2,36","2830,0"
