Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[API] Search movies,100,29734,11140,54273,"13230,17","44,000%",",99450","1,46","2,14","1500,2"
[API] Search persons,100,19300,2,40182,"15106,58","100,000%","1,24998","2,12","0,00","1739,2"
TOTAL,200,24517,2,54273,"15127,49","72,000%","1,98878","3,15","2,14","1619,7"
