Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage (not logged in),150,711,2,3206,"1095,51","0,000%","4,55360","12,58","0,52","2830,0"
Homepage (logged in),150,5910,23,20238,"8623,87","0,000%","4,54697","315,13","34,54","70969,0"
Watch movie,150,3178,16,20231,"4205,52","0,000%","4,54477","51,02","17,34","11495,0"
Show watchhistory,150,835,9,9922,"2408,03","0,000%","4,54559","127,67","17,30","28760,0"
TOTAL,600,2658,2,20238,"5408,72","0,000%","18,15651","505,57","69,60","28513,5"
