Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[ADMIN] Show award report,50,12313,7,20134,"5433,61","0,000%","2,35394","18,30","9,05","7962,0"
[ADMIN] Show rating report,50,19033,13024,27421,"3826,80","0,000%","1,33174","32,75","5,11","25183,0"
TOTAL,100,15673,7,27421,"5776,96","0,000%","2,66283","43,10","10,23","16572,5"
