Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage (logged in),70,16896,1150,36721,"13860,59","84,286%","1,65782","79,39","10,33","49038,6"
TOTAL,70,16896,1150,36721,"13860,59","84,286%","1,65782","79,39","10,33","49038,6"
