name,type
Acadamy Awards,Best Film Editing
Acadamy Awards,Best Sound Effects Editing
Acadamy Awards,Best Visual Effects
BAFTA Awards,Best Cinematography
BAFTA Awards,Best Editing
BAFTA Awards,Best Production Design
BAFTA Awards,Best Sound
