country_name
Åland Islands
Anguilla
Bahamas
Belgium
Belize
Benin
Bolivia
British Indian Ocean Territory
Cambodia
Cameroon
Chile
Croatia
Djibouti
El Salvador
Eritrea
Ethiopia
French Guiana
Gibraltar
Grenada
Guatemala
Guernsey
Guyana
Indonesia
Iraq
Ireland
Israel
"Korea, North"
Liechtenstein
Lithuania
Luxembourg
Malaysia
Maldives
Marshall Islands
Martinique
Mayotte
New Zealand
Niger
"Palestine, State of"
Peru
Poland
Qatar
Saint Vincent and The Grenadines
Seychelles
Singapore
Slovenia
South Sudan
Tanzania
The Netherlands
Trinidad and Tobago
Tunisia
Turkey
"Virgin Islands, United States"
Western Sahara
Zimbabwe
