movie_id,genre_name
1674,Family
1681,Documentary
1683,Short
1699,Music
1706,Documentary
1706,Family
1715,Comedy
1715,Horror
1715,Romance
1715,Sci-Fi
1722,Short
1724,Documentary
1724,Short
1733,Action
1740,Music
1749,Adventure
1749,Animation
1749,Sci-Fi
1767,Documentary
1767,Short
1772,Music
1772,Short
1774,Documentary
1783,Drama
1783,Short
1799,Action
1799,Adventure
1799,Fantasy
1799,Musical
1799,Sci-Fi
1808,Animation
1808,Short
1817,Short
1822,Music
1824,Documentary
1824,Music
1847,Action
1847,Documentary
1847,Drama
1847,Thriller
1849,Comedy
1849,Drama
1856,Documentary
1874,Thriller
1883,Comedy
1901,Adult
1922,Action
1924,Documentary
1926,Family
1926,Music
1933,Documentary
1942,Documentary
1958,Documentary
1958,Short
1965,Crime
1965,Drama
1999,Drama
2006,Documentary
2024,Music
2026,Family
2031,Drama
2033,Documentary
2040,Documentary
2040,Family
2040,Music
2042,Comedy
2056,Documentary
2092,Drama
2099,Documentary
2106,Comedy
2106,Drama
2124,Comedy
2124,Short
2126,Documentary
2131,Drama
2156,Music
2158,Action
2160,Documentary
19404,Documentary
19420,Action
19420,Fantasy
21,Comedy
21,Drama
40,Documentary
57,Drama
155,Documentary
275,Comedy
322,Comedy
322,Sci-Fi
323,Documentary
323,Short
324,Animation
324,Short
357,Short
359,Comedy
359,Drama
359,Family
359,Musical
359,Romance
372,Documentary
375,Crime
375,Western
406,Documentary
407,Family
408,Romance
409,Short
475,Drama
507,Comedy
508,Short
509,Thriller
523,Short
539,Drama
540,Action
540,Fantasy
541,Documentary
543,Drama
543,Short
556,Comedy
576,Short
607,Animation
607,Short
609,Short
610,Drama
641,Short
641,Thriller
643,Documentary
656,Drama
657,Documentary
658,Comedy
658,Short
673,Action
674,Documentary
674,Short
676,Drama
693,Documentary
693,Music
707,Comedy
709,Drama
710,Documentary
723,Comedy
724,Documentary
724,Horror
725,Documentary
725,Horror
726,Documentary
726,Fantasy
726,Horror
726,Sci-Fi
742,Documentary
743,Adult
759,Adult
760,Adult
790,Adult
808,Drama
810,Short
874,Comedy
875,Drama
892,Action
892,Comedy
893,Short
907,Comedy
908,Short
909,Documentary
924,Documentary
926,Documentary
941,Family
941,Short
957,Short
975,Documentary
977,Family
992,Drama
992,Short
993,Comedy
993,Short
994,Drama
994,Short
1024,Short
1026,Action
1026,Adventure
1026,Crime
1041,Comedy
1074,Comedy
1091,Horror
1092,Action
1092,Adventure
1092,Fantasy
1111,Short
1141,Short
1144,Comedy
1144,Short
1158,Drama
1160,Drama
1161,Drama
1178,Action
1178,Mystery
1178,Short
1191,Drama
1208,Thriller
1227,Adult
1241,Adult
1245,Adult
1258,Adult
1260,Adult
1261,Adult
1293,Comedy
1308,Adult
1309,Short
1310,Romance
1311,Documentary
1311,Drama
1344,Adult
1345,Adult
1361,Comedy
1362,Drama
1393,Short
1459,Documentary
1461,Documentary
1462,Family
1475,Family
1494,Music
1509,Documentary
1510,Drama
1511,Drama
1526,Drama
1529,Action
1529,Crime
1529,Thriller
1542,Short
1543,Comedy
1543,Drama
1577,Comedy
1577,Drama
1577,Family
1578,Comedy
1578,Drama
1578,Romance
1579,Action
1595,Comedy
1595,Short
1596,Short
1609,Documentary
1611,Documentary
1612,Short
1645,Adventure
1645,Romance
1645,Sci-Fi
1646,Adventure
1646,Romance
1646,Sci-Fi
1659,Short
1661,Comedy
1661,Horror
1661,Mystery
1661,Short
1678,Music
1679,Documentary
1709,Documentary
1710,Action
1710,Fantasy
1710,Horror
1710,Sci-Fi
1712,Comedy
1712,Sci-Fi
1713,Documentary
1726,Music
1727,Family
1729,Family
1729,Music
1743,Music
1744,Documentary
1745,Musical
1746,Musical
1759,Drama
1759,Romance
1759,Sci-Fi
1760,Short
1776,Documentary
1777,Documentary
1778,Documentary
1779,Documentary
1794,Musical
1796,Sci-Fi
1826,Drama
1826,Thriller
1830,Action
1830,Thriller
1843,Music
1876,Documentary
1877,Documentary
1880,Comedy
1880,Thriller
1895,Comedy
1895,Short
1928,Music
1930,Thriller
1943,Documentary
1946,Family
1947,Comedy
1947,Musical
1979,Short
1997,Family
2010,Documentary
2028,Documentary
2030,Comedy
2030,Drama
2044,Comedy
2045,Comedy
2045,Sci-Fi
2045,Short
2047,Family
2062,Short
2078,Short
2097,Adult
2113,Comedy
2127,Animation
2127,Comedy
2127,Short
2130,Drama
2130,Music
2130,Musical
2130,Romance
2145,Mystery
2145,Short
2161,Comedy
2161,Romance
2177,Animation
2177,Short
2263,Family
2264,Short
2280,Family
2294,Comedy
2294,Romance
2294,Short
2314,Family
2344,Crime
2344,Thriller
2346,Animation
2348,Documentary
2348,Short
2363,Documentary
2378,Music
2381,Western
2395,Comedy
2396,Music
2414,Action
2414,Comedy
2428,Adult
2429,Adult
2430,Adult
2431,Adult
2445,Documentary
2448,Documentary
2448,Short
2463,Action
2463,Drama
2465,Short
19408,Documentary
19408,Short
19409,Documentary
19409,Music
19411,Documentary
19411,Music
19411,Short
19432,Short
19498,Short
19537,Comedy
19614,Drama
19623,Short
19630,Animation
19630,Short
19639,Drama
19741,Drama
19741,Short
19746,Short
19748,Drama
19757,Documentary
19771,Short
19816,Drama
19848,Documentary
19873,Documentary
19873,Short
