movie_id,person_id
118137,6
65495,21
211486,22
394792,22
198671,22
343406,22
170922,22
271630,22
1807,23
381842,25
66707,38
210163,41
196888,56
155836,56
58172,56
67900,56
196831,57
246659,58
78431,58
59685,73
334410,74
312366,74
263307,74
241578,74
377710,88
63230,88
16971,105
91258,107
236537,123
39405,124
341772,124
348526,124
299909,124
358473,124
161117,124
234184,124
65427,124
36486,140
202414,140
266974,140
344201,140
322972,140
193537,140
285402,140
249636,140
174386,140
174485,140
226671,140
284680,140
246555,140
38716,140
49112,140
49116,140
77084,140
144251,140
274494,158
121865,172
250606,175
395432,190
407344,190
394409,190
215461,190
176495,190
387209,191
398816,192
398661,192
383718,192
396180,192
132439,208
341146,222
344717,222
269531,223
103666,224
14272,239
396594,240
381015,240
405010,255
108489,257
26508,258
234308,272
241397,273
349070,275
226924,289
19025,291
181623,292
249856,292
33963,292
161900,292
231771,306
138384,307
22632,307
381525,308
384667,308
387994,308
395229,308
379830,308
387482,308
393112,308
393437,308
399905,308
402399,308
408955,308
380227,308
402812,308
403143,308
406854,308
307804,323
146482,325
233542,325
96862,339
406433,341
77647,342
404562,356
196851,357
158079,359
376520,372
180041,372
262155,372
154521,372
149682,372
369027,373
259989,373
215605,373
225098,374
188722,376
399903,390
127515,391
154716,392
397525,407
194044,409
238140,409
241021,422
342673,423
92704,425
322499,441
65702,442
358519,456
97100,456
310142,457
212220,458
341931,473
76414,474
60401,475
346156,490
233894,491
275366,492
130057,492
44238,493
383952,493
401277,493
82683,493
97026,507
179287,508
316469,508
157608,508
140469,508
254630,523
2719,526
323647,539
83104,539
138038,540
18623,541
284815,542
331275,543
122312,543
214415,574
152471,575
171747,575
258685,575
238415,576
354347,576
291642,591
157947,591
122791,591
189304,592
268417,592
268418,592
25237,592
33581,592
5186,592
379579,593
387386,593
388950,593
325434,593
325428,593
325429,593
173834,593
86672,606
381772,607
76461,607
377392,609
18790,626
247176,640
246193,641
51735,642
112699,656
39039,657
325323,657
325965,657
369334,657
293401,657
279268,657
2225,657
27680,657
345607,660
80165,674
80232,674
336205,675
249778,675
50012,690
408070,691
337989,691
409401,691
315986,691
410550,691
386796,693
403853,693
216727,709
270315,710
156891,740
55425,740
400822,741
248563,741
171281,742
147782,742
337202,743
98326,743
1305,757
355383,758
309013,759
335686,773
199487,773
65584,773
410172,775
290546,776
161832,790
121231,792
18948,792
281600,792
22821,808
147885,808
380618,824
229972,824
132612,826
320891,826
181520,826
28783,826
246590,826
170855,826
86637,840
184146,840
196854,843
188808,857
229671,860
76157,876
166105,876
166289,876
313034,877
310522,877
278627,877
206660,877
397008,890
412318,890
394158,891
219894,893
27745,893
274345,907
281442,907
147081,907
391019,908
268575,909
213279,909
27753,909
261052,910
338150,925
237840,926
104351,927
171015,927
90920,927
146819,941
81653,943
195362,943
178009,943
56764,943
215749,943
125829,943
192850,944
395853,957
396602,957
378305,959
240335,959
283681,959
51732,977
51733,977
204642,977
263860,977
275623,977
63862,977
23065,977
273974,991
331387,1008
381146,1010
107297,1024
307537,1025
266132,1025
348399,1025
300936,1025
390828,1026
330781,1041
409113,1042
263384,1042
274480,1044
59381,1044
33416,1058
10307,1059
167710,1060
92442,1061
125505,1077
383542,1077
379311,1077
404342,1077
410780,1077
227449,1077
167710,1077
227453,1077
31901,1077
303649,1093
355631,1094
54432,1108
302791,1108
318535,1108
239362,1108
189274,1108
189275,1108
185801,1108
384447,1108
162646,1108
156181,1108
80790,1109
378414,1109
281325,2
60570,4
232582,9
142397,18
72709,29
240578,43
399431,52
406127,52
411292,52
395111,52
404853,52
404656,52
248057,52
347407,68
313951,70
316755,70
345313,86
335225,86
357344,104
200518,104
34535,111
201011,111
389663,118
411884,118
8563,129
358655,129
282058,129
259895,129
388205,134
387387,134
201491,136
309567,136
195730,145
267265,159
129831,168
175906,177
175910,177
226082,177
63411,179
214676,184
155057,186
64374,209
315963,211
178962,211
242867,211
388566,213
215880,213
82092,220
405828,220
278526,220
396333,227
398806,227
379648,227
379001,227
400482,227
403782,227
406313,229
50081,234
108522,238
23077,243
72723,252
220209,277
70932,286
342753,286
261975,288
42533,288
1985,288
353717,293
5680,295
374666,302
172904,302
399439,313
274557,313
273260,313
270587,313
280833,313
190269,313
318186,313
245460,313
117707,313
91839,313
26256,313
50651,318
379116,327
405229,329
207599,338
334647,343
15440,352
33173,361
398897,370
397820,370
262507,377
30108,377
251452,386
220456,393
154551,402
306291,404
286785,404
283134,420
283131,420
283132,420
283133,420
243243,420
215902,420
113356,420
340808,427
290307,427
191714,427
