name,year,type,movie_id,person_id,result
BAFTA Awards,2017,Best Cinematography,1790809,19580,nominated
Acadamy Awards,2000,Best Film Editing,303564,54796,Nominated
Acadamy Awards,2001,Best Film Editing,303564,54796,Nominated
Acadamy Awards,2018,Best Film Editing,194502,108513,nominated
Acadamy Awards,2000,Best Film Editing,160492,68042,Nominated
Acadamy Awards,2001,Best Film Editing,160492,68042,Nominated
